State Well Number,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Latitude DD,Longitude DD,Unnamed: 8,Unnamed: 9,Unnamed: 10,County,Drilling End Date,Well Depth (ft. below land surface),Unnamed: 14,Unnamed: 15,Unnamed: 16
5843707.0,,,,,,30.2747222,-97.7397222,,,,Travis,1859,471.0,,,
5850103.0,,,,,,30.236111,-97.857501,,,,Travis,1885,45.0,,,
5850205.0,,,,,,30.231389,-97.805834,,,,Travis,1887,265.0,,,
7047102.0,,,,,,29.355834,-100.213612,,,,Kinney,1888,266.0,,,
5835501.0,,,,,,30.44,-97.693611,,,,Travis,1889,276.0,,,
6833208.0,,,,,,29.466112,-98.927222,,,,Medina,1890,297.0,,,
6836603.0,,,,,,29.4420278,-98.52635,,,,Bexar,1893,498.0,,,
7038903.0,,,,,,29.412778,-100.273055,,,,Kinney,1893,360.0,,,
6816704.0,,,,,,29.764167,-98.110001,,,,Comal,1893,,,,
5835210.0,,,,,,30.467778,-97.6725,,,,Travis,1894,362.0,,,
6709804.0,,,,,,29.751945,-97.950001,,,,Guadalupe,1894,983.0,,,
6935804.0,,,,,,29.394445,-99.702223,,,,Uvalde,1894,283.0,,,
6943204.0,,,,,,29.362501,-99.674444,,,,Uvalde,1895,333.0,,,
6823212.0,,,,,,29.743611,-98.173055,,,,Comal,1895,265.0,,,
6816804.0,,,,,,29.778055,-98.063056,,,,Comal,1896,210.0,,,
6830601.0,,,,,,29.5648,-98.274844,,,,Guadalupe,1896,565.0,,,
7047301.0,,,,,,29.341945,-100.146389,,,,Kinney,1896,220.0,,,
6830801.0,,,,,,29.5177778,-98.3141667,,,,Bexar,1896,700.0,,,
6830310.0,,,,,,29.596111,-98.263889,,,,Guadalupe,1897,360.0,,,
6823210.0,,,,,,29.715001,-98.208056,,,,Comal,1898,304.0,,,
6816605.0,,,,,,29.829167,-98.004445,,,,Hays,1898,187.0,,,
6939518.0,,,,,,29.443334,-99.179722,,,,Medina,1898,265.0,,,
5858703.0,,,,,,30.0280556,-97.8544444,,,,Hays,1898,507.0,,,
6938508.0,,,,,,29.424167,-99.309723,,,,Medina,1898,350.0,,,
6940205.0,,,,,,29.498889,-99.062778,,,,Medina,1898,325.0,,,
7038602.0,,,,,,29.455834,-100.283334,,,,Kinney,1899,365.0,,,
6940408.0,,,,,,29.430278,-99.102778,,,,Medina,1900,278.0,,,
6938502.0,,,,,,29.446945,-99.299167,,,,Medina,1900,450.0,,,
5834202.0,,,,,,30.493334,-97.827778,,,,Williamson,1900,60.0,,,
6831211.0,,,,,,29.591111,-98.197778,,,,Guadalupe,1900,442.0,,,
6826811.0,,,,,,29.52,-98.8172222,,,,Medina,1900,520.0,,,
5835803.0,,,,,,30.402223,-97.682778,,,,Travis,1900,1400.0,,,
5804607.0,,,,,,30.956945,-97.533055,,,,Bell,1900,84.0,,,
6701829.0,,,,,,29.8861111,-97.9402778,,,,Hays,1900,23.0,,,
5819402.0,,,,,,30.702501,-97.750001,,,,Williamson,1900,110.0,,,
6830208.0,,,,,,29.6102806,-98.3196278,,,,Comal,1900,292.0,,,
5834614.0,,,,,,30.431111,-97.786111,,,,Travis,1900,100.0,,,
5835205.0,,,,,,30.465278,-97.698334,,,,Williamson,1900,280.0,,,
5819315.0,,,,,,30.722778,-97.643056,,,,Williamson,1900,300.0,,,
6931902.0,,,,,,29.524722,-99.140278,,,,Medina,1901,460.0,,,
6938706.0,,,,,,29.412778,-99.366944,,,,Medina,1901,500.0,,,
6816703.0,,,,,,29.753334,-98.093056,,,,Comal,1901,140.0,,,
5850110.0,,,,,,30.214445,-97.850834,,,,Travis,1901,217.0,,,
5811907.0,,,,,,30.763334,-97.625555,,,,Williamson,1902,415.0,,,
6938309.0,,,,,,29.502223,-99.271111,,,,Medina,1902,400.0,,,
5850102.0,,,,,,30.221389,-97.860556,,,,Travis,1902,250.0,,,
5811906.0,,,,,,30.751667,-97.633611,,,,Williamson,1902,377.0,,,
6831102.0,,,,,,29.603056,-98.225278,,,,Guadalupe,1902,405.0,,,
6822303.0,,,,,,29.713612,-98.251945,,,,Comal,1902,515.0,,,
6836910.0,,,,,,29.401389,-98.522778,,,,Bexar,1903,915.0,,,
6837423.0,,,,,,29.445278,-98.473055,,,,Bexar,1903,729.0,,,
6830111.0,,,,,,29.614723,-98.3375,,,,Comal,1903,230.0,,,
5813501.0,,,,,,30.795556,-97.43,,,,Williamson,1903,1320.0,,,
5835301.0,,,,,,30.470555,-97.663334,,,,Travis,1903,352.0,,,
6940410.0,,,,,,29.457223,-99.115556,,,,Medina,1904,260.0,,,
6834107.0,,,,,,29.4825,-98.851667,,,,Medina,1904,750.0,,,
6829507.0,,,,,,29.563889,-98.420278,,,,Bexar,1904,,,,
5835211.0,,,,,,30.479444,-97.672778,,,,Travis,1904,317.0,,,
6830612.0,,,,,,29.543334,-98.289167,,,,Bexar,1904,554.0,,,
6939809.0,,,,,,29.398056,-99.196111,,,,Medina,1904,495.0,,,
5835716.0,,,,,,30.402778,-97.712778,,,,Travis,1904,307.0,,,
7039701.0,,,,,,29.414723,-100.231667,,,,Kinney,1904,410.0,,,
6939813.0,,,,,,29.393334,-99.184722,,,,Medina,1904,477.0,,,
5835203.0,,,,,,30.490834,-97.676111,,,,Williamson,1905,218.0,,,
6939523.0,,,,,,29.4175,-99.17,,,,Medina,1905,500.0,,,
6939525.0,,,,,,29.429722,-99.188334,,,,Medina,1905,270.0,,,
6939306.0,,,,,,29.478333,-99.140556,,,,Medina,1905,290.0,,,
6943404.0,,,,,,29.304445,-99.736945,,,,Uvalde,1905,,,,
5819826.0,,,,,,30.640556,-97.678889,,,,Williamson,1905,130.0,,,
6938909.0,,,,,,29.415001,-99.278055,,,,Medina,1906,707.0,,,
6837437.0,,,,,,29.437778,-98.482222,,,,Bexar,1906,805.0,,,
6836507.0,,,,,,29.426667,-98.544445,,,,Bexar,1906,1380.0,,,
6836810.0,,,,,,29.381111,-98.561389,,,,Bexar,1906,1400.0,,,
6823306.0,,,,,,29.746667,-98.153056,,,,Comal,1906,190.0,,,
6939602.0,,,,,,29.443611,-99.129722,,,,Medina,1906,298.0,,,
6947306.0,,,,,,29.3463056,-99.1389444,,,,Medina,1906,1500.0,,,
6940206.0,,,,,,29.492778,-99.072222,,,,Medina,1906,286.0,,,
6937401.0,,,,,,29.457778,-99.491111,,,,Uvalde,1906,461.0,,,
6837431.0,,,,,,29.425405,-98.47711,,,,Bexar,1906,1195.0,,,
6939810.0,,,,,,29.405834,-99.185834,,,,Medina,1906,447.0,,,
