1920-1924, 581.11, 425.98
1925-1929, 781.01, 621.40
1930-1934, 666.02, 530.58
1935-1939, 438.05, 277.50
1940-1944, 783.44, 712.63
1945-1949, 710.15, 618.35
1950-1954, 844.68, 714.52
1955-1959, 940.02, 844.91
1960-1964, 851.34, 688.79
1965-1969, 827.88, 725.95
1970-1974, 617.31, 606.48
1975-1979, 583.25, 526.58
1980-1984, 624.57, 548.01
1985-1989, 641.48, 551.75
1990-1994, 777.51, 621.30
1995-1999, 604.72, 464.92
2000-2004, 588.61, 433.90
2005-2009, 676.30, 768.95
2010-2014, 354.46, 238.80
2015-2019, 364.64, 183.09
2020-2023, 573.09, 334.85
