1920-1924, 325.29, 516.74
1925-1929, 376.18, 558.84
1930-1934, 347.41, 608.60
1935-1939, 396.18, 684.61
1940-1944, 432.83, 683.92
1945-1949, 552.09, 732.77
1950-1954, 480.50, 512.98
1955-1959, 430.73, 460.35
1960-1964, 407.20, 451.61
1965-1969, 429.76, 408.84
1970-1974, 498.40, 506.87
1975-1979, 620.76, 676.09
1980-1984, 642.28, 667.35
1985-1989, 481.03, 481.52
1990-1994, 532.95, 633.36
1995-1999, 517.02, 439.93
2000-2004, 518.73, 607.77
2005-2009, 553.11, 557.99
2010-2014, 602.66, 770.52
2015-2019, 781.17, 765.18
2020-2024, 392.28, 224.34
