1920-1924, 115.99, 59.81
1925-1929, 160.83, 114.39
1930-1934, 130.04, 91.20
1935-1939, 176.45, 105.67
1940-1944, 190.07, 131.20
1945-1949, 196.34, 85.54
1950-1954, 230.70, 113.11
1955-1959, 287.65, 168.05
1960-1964, 298.68, 180.16
1965-1969, 335.30, 191.79
1970-1974, 310.24, 169.59
1975-1979, 314.76, 194.16
1980-1984, 279.74, 180.79
1985-1989, 251.06, 171.59
1990-1994, 295.87, 175.05
1995-1999, 327.59, 204.16
2000-2004, 294.52, 189.33
2005-2009, 375.60, 228.00
2010-2014, 413.86, 290.86
2015-2019, 321.28, 236.74
2020-2023, 313.93, 187.95
