1920-1924, 768.57, 1892.70
1925-1929, 547.48, 1103.67
1930-1934, 532.97, 1218.50
1935-1939, 461.63, 786.06
1940-1944, 825.72, 1391.96
1945-1949, 606.86, 942.65
1950-1954, 701.65, 1080.23
1955-1959, 722.31, 1161.61
1960-1964, 532.45, 720.43
1965-1969, 267.43, 373.18
1970-1974, 449.97, 694.53
1975-1979, 617.25, 674.75
1980-1984, 638.41, 601.05
1985-1989, 690.40, 663.66
1990-1994, 619.90, 519.55
1995-1999, 627.68, 468.46
2000-2004, 747.47, 630.81
2005-2009, 699.80, 599.86
2010-2014, 598.81, 493.11
2015-2019, 610.89, 408.95
2020-2024, 593.97, 484.68
