1920-1924, 271.67, 223.59
1925-1929, 286.25, 220.81
1930-1934, 251.97, 184.00
1935-1939, 263.52, 197.07
1940-1944, 258.93, 167.74
1945-1949, 255.69, 165.71
1950-1954, 285.28, 176.26
1955-1959, 306.60, 206.99
1960-1964, 300.57, 195.61
1965-1969, 295.30, 192.21
1970-1974, 397.86, 390.19
1975-1979, 337.65, 262.84
1980-1984, 339.52, 198.03
1985-1989, 283.75, 183.05
1990-1994, 350.04, 295.88
1995-1999, 330.83, 295.15
2000-2004, 366.21, 245.90
2005-2009, 443.43, 398.74
2010-2014, 441.97, 265.91
2015-2019, 657.19, 304.11
2020-2023, 429.03, 250.04
