1920-1924, 685.64, 419.39
1925-1929, 612.86, 194.17
1930-1934, 577.54, 609.11
1935-1939, 725.15, 512.60
1940-1944, 654.35, 332.43
1945-1949, 435.64, 250.36
1950-1954, 543.65, 461.38
1955-1959, 783.10, 585.24
1960-1964, 553.05, 282.65
1965-1969, 553.38, 379.09
1970-1974, 547.61, 275.36
1975-1979, 579.95, 288.18
1980-1984, 572.93, 294.41
1985-1989, 557.48, 281.22
1990-1994, 726.00, 320.79
1995-1999, 586.62, 201.44
2000-2004, 724.40, 948.69
2005-2009, 919.65, 28.46
2010-2014, 794.68, 254.82
2015-2019, 635.23, 173.94
2020-2021, 763.80, 133.99
