State Well Number,Latitude DD,Longitude DD,County,Date,Depth
3539401.0,32.449722,-94.239445,Harrison,1840,35.0
3922408.0,31.67,-96.363612,Freestone,1850,40.0
3550402.0,32.188334,-94.847222,Rusk,1860,39.0
5845601.0,30.293334,-97.403612,Bastrop,1863,76.0
3559701.0,32.040278,-94.726667,Rusk,1866,28.0
3550403.0,32.189445,-94.863056,Rusk,1866,20.0
3550102.0,32.227778,-94.849722,Rusk,1866,43.0
3427801.0,32.502501,-95.673611,Van Zandt,1870,60.0
5860705.0,30.011112,-97.619444,Caldwell,1870,47.0
6720203.0,29.733055,-97.583055,Caldwell,1870,46.0
3411202.0,32.854445,-95.668333,Rains,1870,45.0
3442105.0,32.346667,-95.871389,Henderson,1870,27.0
3625802.0,31.5158333,-93.9180556,Sabine,1870,50.0
5862502.0,30.0475,-97.323333,Bastrop,1870,32.0
6956401.0,29.184722,-99.110834,Medina,1875,55.0
3924501.0,31.698056,-96.075278,Freestone,1875,39.0
6857311.0,29.116112,-98.903612,Medina,1875,94.0
5918103.0,30.7375,-96.852778,Milam,1875,20.0
6711702.0,29.782222,-97.726944,Caldwell,1880,42.0
3916402.0,31.817778,-96.087222,Freestone,1880,55.0
3442406.0,32.326944,-95.846389,Henderson,1880,32.0
3702603.0,31.952778,-94.751389,Rusk,1880,16.0
3420201.0,32.735556,-95.573611,Wood,1880,25.0
5910501.0,30.796389,-96.830555,Milam,1885,97.0
5847102.0,30.354723,-97.241667,Bastrop,1885,78.0
3921503.0,31.685834,-96.427778,Limestone,1885,60.0
3557601.0,32.053334,-94.890278,Rusk,1885,32.0
3721201.0,31.73,-94.455834,Nacogdoches,1886,41.0
3729301.0,31.6225,-94.403889,Nacogdoches,1890,27.0
6706401.0,29.927778,-97.358612,Bastrop,1890,52.0
3712602.0,31.806945,-94.514167,Nacogdoches,1890,19.0
3410502.0,32.823889,-95.83,Rains,1890,42.0
3922404.0,31.681944,-96.362223,Freestone,1890,34.0
3731201.0,31.604723,-94.174167,San Augustine,1890,25.0
3914806.0,31.753334,-96.301945,Freestone,1890,32.0
3425501.0,32.544722,-95.941111,Van Zandt,1890,12.0
6719702.0,29.663334,-97.7175,Guadalupe,1892,103.0
5861801.0,30.018333,-97.436667,Bastrop,1895,32.0
6720402.0,29.697778,-97.591389,Caldwell,1895,24.0
3922105.0,31.722778,-96.374167,Freestone,1895,37.0
6726903.0,29.531111,-97.7875,Guadalupe,1896,52.0
3558701.0,32.031111,-94.866112,Rusk,1896,51.0
3931302.0,31.595556,-96.138889,Freestone,1896,16.0
3441307.0,32.352223,-95.905834,Henderson,1896,23.0
6712702.0,29.776389,-97.588056,Caldwell,1896,85.0
3711403.0,31.802501,-94.716112,Nacogdoches,1899,25.0
3550205.0,32.219444,-94.796111,Rusk,1899,38.0
3558702.0,32.031389,-94.850278,Rusk,1900,19.0
3557506.0,32.074444,-94.941111,Rusk,1900,60.0
6855101.0,29.213334,-98.238334,Wilson,1900,100.0
3732203.0,31.585556,-94.081667,San Augustine,1900,40.0
6857224.0,29.097222,-98.948889,Medina,1900,114.0
3916704.0,31.773889,-96.116389,Freestone,1900,50.0
3739605.0,31.456945,-94.139167,San Augustine,1900,415.0
7734305.0,28.490278,-99.789722,Dimmit,1900,601.0
3908102.0,31.97,-96.091667,Freestone,1900,35.0
3711203.0,31.867778,-94.707501,Rusk,1900,37.0
3953502.0,31.198056,-96.420555,Robertson,1900,230.0
3712303.0,31.848611,-94.512223,Rusk,1900,46.0
6850711.0,29.157778,-98.875,Medina,1900,80.0
3711402.0,31.808889,-94.711112,Nacogdoches,1900,26.0
3818401.0,31.67,-95.847778,Freestone,1900,68.0
5861203.0,30.100834,-97.428611,Bastrop,1900,59.0
5903510.0,30.924444,-96.673889,Robertson,1900,350.0
7801101.0,28.991945,-98.991945,Frio,1900,150.0
3559603.0,32.070833,-94.655834,Rusk,1900,26.0
3464604.0,32.043889,-95.030833,Cherokee,1900,25.0
6728506.0,29.561945,-97.5725,Gonzales,1900,350.0
3559203.0,32.115278,-94.678611,Rusk,1900,40.0
3413504.0,32.813334,-95.433611,Wood,1900,375.0
6857223.0,29.0925,-98.954167,Medina,1900,110.0
3921601.0,31.678333,-96.389722,Freestone,1900,65.0
6956511.0,29.171111,-99.055001,Medina,1900,93.0
3552401.0,32.18,-94.603612,Rusk,1900,22.0
3560701.0,32.027222,-94.605556,Rusk,1900,32.0
3702604.0,31.9225,-94.791667,Rusk,1900,38.0
6720501.0,29.698056,-97.566389,Caldwell,1900,19.0
6725704.0,29.5175,-97.986389,Guadalupe,1900,75.0
