State Well Number,Latitude DD,Longitude DD,County,Date,Depth
2750102.0,32.2413889,-102.8708333,Andrews,1890,50.0
4640601.0,31.456667,-103.028611,Ward,1900,66.0
4637401.0,31.4541667,-103.4802778,Ward,1900,278.0
4526201.0,31.619444,-102.806112,Ward,1900,72.0
4642801.0,31.285556,-103.833055,Reeves,1900,145.0
4615301.0,31.872222,-103.149445,Winkler,1900,155.0
4625301.0,31.604445,-103.883055,Reeves,1900,300.0
4534602.0,31.4416667,-102.7683333,Ward,1902,100.0
4616601.0,31.829444,-103.036389,Winkler,1906,179.0
4501601.0,31.919167,-102.877222,Winkler,1907,96.0
4639605.0,31.445556,-103.136111,Ward,1907,86.0
4637107.0,31.496667,-103.466389,Ward,1908,163.0
4637207.0,31.493334,-103.455001,Ward,1908,80.0
4637102.0,31.499445,-103.467778,Ward,1908,103.0
4642601.0,31.307223,-103.785278,Reeves,1909,37.0
4636505.0,31.4175,-103.571944,Reeves,1909,217.0
4533501.0,31.4383389,-102.9311389,Ward,1910,71.0
4632405.0,31.552778,-103.114445,Ward,1910,96.0
4639206.0,31.461112,-103.178611,Ward,1910,97.0
4636502.0,31.448056,-103.565834,Reeves,1910,170.0
4651902.0,31.140278,-103.643056,Reeves,1910,187.0
4629806.0,31.509723,-103.452223,Ward,1911,78.0
4636807.0,31.411112,-103.553334,Reeves,1912,185.0
4636102.0,31.465556,-103.601112,Reeves,1912,500.0
4656307.0,31.2125,-103.0194444,Pecos,1913,600.0
4645803.0,31.273333,-103.428333,Reeves,1913,180.0
4603401.0,31.9463889,-103.7091667,Loving,1915,160.0
4644802.0,31.265001,-103.558056,Reeves,1918,195.0
4533817.0,31.385,-102.933055,Ward,1922,25.0
4533810.0,31.386111,-102.938056,Ward,1924,29.0
4637307.0,31.464167,-103.412778,Ward,1924,85.0
4629709.0,31.535,-103.485,Ward,1926,59.0
4631306.0,31.597222,-103.133889,Ward,1927,153.0
4615901.0,31.759445,-103.133611,Winkler,1927,185.0
4620101.0,31.713889,-103.609167,Loving,1928,143.0
4637602.0,31.446945,-103.385,Ward,1928,80.0
4616407.0,31.811945,-103.111667,Winkler,1928,105.0
4615801.0,31.767778,-103.177222,Winkler,1928,438.0
4615802.0,31.7675,-103.178333,Winkler,1928,542.0
4637214.0,31.468333,-103.42,Ward,1928,115.0
4616403.0,31.8175,-103.113334,Winkler,1928,110.0
4631706.0,31.502778,-103.225555,Ward,1928,200.0
5306303.0,30.985,-102.260001,Pecos,1928,182.0
4615913.0,31.754167,-103.150834,Winkler,1929,297.0
4624101.0,31.736667,-103.112501,Winkler,1929,290.0
4623307.0,31.7375,-103.142222,Winkler,1929,182.0
4637213.0,31.494722,-103.438889,Ward,1929,58.0
4629503.0,31.570833,-103.451667,Ward,1929,71.0
4631902.0,31.538889,-103.161667,Ward,1930,118.0
4533818.0,31.402501,-102.919167,Ward,1930,106.0
4542104.0,31.364167,-102.867222,Ward,1930,50.0
4637308.0,31.461112,-103.378333,Ward,1930,85.0
4638401.0,31.446111,-103.360278,Ward,1930,13.0
4629805.0,31.523889,-103.420278,Ward,1930,73.0
4620501.0,31.679167,-103.565556,Loving,1930,44.0
4637305.0,31.466944,-103.378611,Ward,1930,80.0
4561601.0,31.053056,-102.375278,Pecos,1930,300.0
4624903.0,31.641667,-103.003334,Ward,1930,180.0
4533809.0,31.415278,-102.946389,Ward,1930,116.0
4632605.0,31.563889,-103.029167,Ward,1930,300.0
4518901.0,31.6402778,-102.7686111,Ward,1930,81.0
4623903.0,31.654167,-103.145556,Winkler,1930,135.0
4607940.0,31.876667,-103.1325,Winkler,1930,175.0
4607938.0,31.879167,-103.148611,Winkler,1930,100.0
4615305.0,31.864723,-103.132778,Winkler,1930,150.0
4615607.0,31.828611,-103.152501,Winkler,1930,180.0
4623304.0,31.747778,-103.155556,Winkler,1930,210.0
4620402.0,31.680278,-103.610001,Loving,1931,80.0
4533808.0,31.411112,-102.938889,Ward,1932,103.0
4533807.0,31.409445,-102.941667,Ward,1932,120.0
4620801.0,31.657778,-103.576944,Loving,1932,98.0
