State Well Number,Latitude DD,Longitude DD,County,Date,Depth
2141108.0,33.361945,-99.989445,Haskell,1888,60.0
2150509.0,33.179722,-99.808334,Haskell,1890,42.0
3017102.0,32.722222,-99.993611,Jones,1892,49.0
2135908.0,33.413334,-99.650001,Knox,1895,43.0
3010816.0,32.783334,-99.826389,Jones,1895,45.0
2127929.0,33.533611,-99.656389,Knox,1896,18.0
1361201.0,34.093334,-99.419167,Wilbarger,1897,21.0
3018101.0,32.721389,-99.834445,Jones,1900,72.0
3010205.0,32.873611,-99.800556,Jones,1900,70.0
3010411.0,32.815834,-99.853612,Jones,1900,20.0
2133802.0,33.389722,-99.94,Haskell,1900,55.0
2128720.0,33.533334,-99.620278,Knox,1900,23.0
3027149.0,32.602501,-99.726944,Jones,1901,25.0
2135621.0,33.448056,-99.660834,Knox,1901,41.0
1362117.0,34.085834,-99.339167,Wilbarger,1902,32.0
2141311.0,33.354723,-99.883334,Haskell,1902,55.0
2142118.0,33.337222,-99.839167,Haskell,1903,65.0
3018210.0,32.721111,-99.810556,Jones,1903,55.0
2129202.0,33.6183333,-99.4463889,Baylor,1903,100.0
2128906.0,33.508334,-99.528055,Knox,1905,46.0
3001501.0,32.923611,-99.931944,Jones,1905,60.0
2142201.0,33.360556,-99.810556,Haskell,1906,55.0
2151704.0,33.1547222,-99.7330556,Haskell,1906,22.0
2135672.0,33.441667,-99.664167,Knox,1906,47.0
2149301.0,33.218055,-99.8975,Haskell,1906,59.0
2136520.0,33.447778,-99.579444,Knox,1906,31.0
2135622.0,33.448889,-99.6425,Knox,1906,37.0
2142245.0,33.365834,-99.809723,Haskell,1906,65.0
2923902.0,32.666389,-100.125555,Jones,1906,80.0
3018504.0,32.672222,-99.8225,Jones,1908,83.0
2135408.0,33.452778,-99.712501,Knox,1908,30.0
3018419.0,32.694167,-99.850001,Jones,1910,44.0
1355505.0,34.166944,-99.186945,Wilbarger,1910,28.0
2128907.0,33.519722,-99.532222,Knox,1910,45.0
2135207.0,33.494167,-99.684445,Knox,1910,29.0
2127917.0,33.540834,-99.656389,Knox,1910,16.0
3018308.0,32.734722,-99.788056,Jones,1910,50.0
1462201.0,34.114445,-98.331667,Clay,1910,27.0
2924312.0,32.720833,-100.028889,Jones,1910,100.0
2129305.0,33.6122222,-99.4111111,Baylor,1910,34.0
1361504.0,34.075555,-99.431111,Wilbarger,1912,32.0
1344904.0,34.251389,-99.511112,Hardeman,1912,52.0
1355102.0,34.230833,-99.2275,Wilbarger,1912,38.0
2142701.0,33.267222,-99.853889,Haskell,1913,25.0
3019506.0,32.707223,-99.684167,Jones,1914,13.0
2136441.0,33.434722,-99.617778,Knox,1914,42.0
2924311.0,32.720833,-100.008056,Jones,1914,72.0
2141307.0,33.369444,-99.902501,Haskell,1914,50.0
2127813.0,33.511112,-99.687222,Knox,1914,31.0
2141702.0,33.287222,-99.9875,Haskell,1914,20.0
1364301.0,34.121944,-99.033334,Wilbarger,1914,36.0
2136438.0,33.448889,-99.596389,Knox,1915,60.0
2140103.0,33.474444,-99.108334,Baylor,1915,13.0
